,date,transaction_date,cardholder_id,card_id,card_segment,offer_segment,transaction_id,transaction_currency,transaction_currency_code,transaction_amount,transaction_sales_channel,merchant_id,merchant_name,merchant_city,merchant_country,category_key,offer_id,offer_title,ruleset_id,redemption_limit,discount_type,percentage_value,minimum_spend,reward_every_transaction,reward_frequency,minimum_transactions,seg_total_transaction_count,seg_unique_user_count,casback_amount,Recency,Frequency,Monetary,Cluster,wallet_share_by_category
0,2024-05-26 18:30:00,2024-05-23,a4810c27-3802-4377-9ef3-dd1c8ed80e84,dcb1cb81-3f02-ef11-a574-b8cef6052491,NEW,,304144856984648,AUD,36,41.75,E-COMMERCE,240,Automotive Superstore,Castle Hill,Australia,Retailers,312,Get 2% Cashback on All Purchases,257,,PERCENTAGE,2.0,,YES,,,87,86,0.83,18,1,41.75,0,41.75
1,2024-05-26 18:00:00,2024-05-24,968b63c7-46e5-424d-9a8a-0dc75c6a635a,fd0a692d-2702-ef11-a574-b8cef6052491,NEW,,304145065932986,AUD,36,62.96,IN-STORE,255,Shoes & Sox,Narellan,Australia,Fashion & Retail,325,Get 5% Cashback on All Purchases,242,,PERCENTAGE,5.0,,YES,,,100,96,3.14,17,1,62.96,0,62.96
2,2024-05-26 17:30:00,2024-05-23,393dfe13-b0fb-41e6-8258-58633c927fa0,3313065d-f301-ef11-a574-b8cef6052491,NEW,,584144013033949,AUD,36,109.93,IN-STORE,223,Novo Shoes Instore,BRISBANE AIRPORT,Australia,Fashion & Retail,284,Spend $100 and get 15% Cashback,241,,PERCENTAGE,15.0,100.0,YES,,,96,96,16.48,18,1,109.93,0,109.93
3,2024-05-26 17:30:00,2024-05-24,30547e90-76e8-4e8b-acc6-1b19e3617551,9029f311-0b02-ef11-a574-b8cef6052491,NEW,,384145088486009,AUD,36,33.0,E-COMMERCE,209,Sydney Tower Eye Australia,Sydney,Australia,Entertainment,286,Get 5% Cashback on All Purchases,243,,PERCENTAGE,5.0,,YES,,,15,14,1.65,17,2,66.0,0,66.0
4,2024-05-26 17:15:00,2024-05-24,63f3dbc7-f53a-4620-848d-d3a049b2f3c1,dad2e071-ff01-ef11-a574-b8cef6052491,NEW,,584145001025281,AUD,36,48.0,E-COMMERCE,210,Sealife Sydney Australia,Sydney,Australia,Entertainment,285,Get 5% Cashback on All Purchases,242,,PERCENTAGE,5.0,,YES,,,36,35,2.4,17,1,48.0,0,48.0
5,2024-05-26 17:15:00,2024-05-23,1b9a0d03-56b7-4160-bf4e-4c8d929cddd0,34f71222-f401-ef11-a574-b8cef6052491,LAPSED,,304144314405375,AUD,36,119.93,IN-STORE,223,Novo Shoes Instore,MAROOCHYDORE,Australia,Fashion & Retail,284,Spend $100 and get 15% Cashback,241,,PERCENTAGE,15.0,100.0,YES,,,96,96,17.98,18,1,119.93,0,119.93
6,2024-05-26 17:15:00,2024-05-24,09228aed-7481-4ce2-8584-5d988852cd10,9453a788-3802-ef11-a574-b8cef6052491,NEW,,464145323490468,AUD,36,73.0,E-COMMERCE,266,Converse,Melbourne,Australia,Fashion & Retail,337,Get 5% Cashback on your 1st purchase,293,,PERCENTAGE,5.0,,NO,ONLY,1.0,35,35,3.65,17,1,73.0,0,73.0
7,2024-05-26 16:45:00,2024-05-24,d4b0f623-42bd-494c-bcca-df3569da8c1b,e8fde79d-2d02-ef11-a574-b8cef6052491,NEW,,584145087457766,AUD,36,108.0,E-COMMERCE,214,SEALIFE Melbourne Australia,Melbourne,Australia,Entertainment,290,Get 5% Cashback on All Purchases,243,,PERCENTAGE,5.0,,YES,,,32,31,5.4,17,1,108.0,0,108.0
8,2024-05-26 16:30:00,2024-05-23,c1db39d3-9c25-4420-900c-fde57a3e5057,ac28dbdd-0c02-ef11-a574-b8cef6052491,NEW,,304144859384597,AUD,36,24.99,E-COMMERCE,252,Move with us,Burleigh Heads,Australia,Health and Wellness,314,Get 15% Cashback on All Purchases,259,,PERCENTAGE,15.0,,YES,,,38,38,3.74,18,1,24.99,0,24.99
9,2024-05-26 16:30:00,2024-05-24,8c9253db-231f-48fb-bd6a-3e102db7ce9a,35bb1e8c-2602-ef11-a574-b8cef6052491,NEW,,584145175641443,AUD,36,24.7,E-COMMERCE,240,Automotive Superstore,Castle Hill,Australia,Retailers,312,Get 2% Cashback on All Purchases,257,,PERCENTAGE,2.0,,YES,,,87,86,0.49,17,1,24.7,0,24.7
