transaction_id,order_value,category,recency,frequency,monetary,order_value_total,wallet_share_by_category,uid_without_string,hour_of_day,day_of_week,month,cluster
464050142633304,22.08,3,8,1,22.08,1164391.0,0.0018962702391207,0006010732025283345,3,0,2,0
304050138039532,36.99,1,8,1,36.99,261796.18,0.0141293123528387,0006010732026096480,3,0,2,0
384050128359200,180.44,3,8,1,180.44,1164391.0,0.015496512769336,0006010732026401300,3,0,2,0
384050123292049,270.0,1,8,3,611.13,261796.18,0.103133666809042,0006010732021856243,3,0,2,0
584050056781674,105.95,3,8,12,768.28,1164391.0,0.0090991771664329,0006010732020290139,1,0,2,1
304050051526348,230.0,1,8,2,404.31,261796.18,0.0878546050595543,0006010732021985059,1,0,2,0
304050021883026,43.87,3,8,5,292.5,1164391.0,0.003767634754992,0006010732025553812,0,0,2,0
304049854321825,96.36,3,9,1,96.36,1164391.0,0.0082755706631191,0006010732022221736,23,6,2,0
584049839220391,214.55,4,9,1,214.55,187261.11,0.114572641377593,0006010732023464616,23,6,2,1
584049798667416,21.99,1,9,1,21.99,261796.18,0.0083996641967808,0006010732025592612,22,6,2,1
584049792058213,39.9,3,9,2,87.75,1164391.0,0.0034266839918893,0006010732021023489,22,6,2,1
584049771164961,283.33,3,9,12,3990.08,1164391.0,0.0243328916145865,0006010732025770689,21,6,2,1
464049764999711,96.0,3,9,3,237.27,1164391.0,0.0082446532135682,0006010732022960655,21,6,2,0
384049677378115,163.1,3,9,42,6135.33,1164391.0,0.0140073222826353,0006010732021426575,18,6,2,0
464049339484759,197.61,3,9,3,592.83,1164391.0,0.0169711033493044,0006010732021329621,9,6,2,0
464049338634975,197.61,3,9,3,592.83,1164391.0,0.0169711033493044,0006010732021329621,9,6,2,0
304049338615450,197.61,3,9,3,592.83,1164391.0,0.0169711033493044,0006010732021329621,9,6,2,0
384049307738677,194.4,3,9,1,194.4,1164391.0,0.0166954227574758,0006010732026002785,8,6,2,0
304049265740587,360.93,3,9,6,839.05,1164391.0,0.0309973196288875,0006010732023761599,7,6,2,0
584049262329557,105.55,3,9,4,355.62,1164391.0,0.0090648244447097,0006010732026422306,7,6,2,1
464049155817850,56.12,3,9,1,56.12,1164391.0,0.0048196868577651,0006010732026262900,4,6,2,0
304049155380613,319.99,1,9,1,319.99,261796.18,0.1222286742304643,0006010732020536051,4,6,2,0
304049142099408,206.1,4,9,1,206.1,187261.11,0.1100602255321459,0006010732021494367,3,6,2,0
464049029287445,399.0,3,9,1,399.0,1164391.0,0.0342668399188932,0006010732026112923,0,6,2,0
304049014458453,91.99,1,9,1,91.99,261796.18,0.0351380222583843,0006010732023589347,0,6,2,0
584048843890551,9.99,1,10,2,75.17999999999999,261796.18,0.0038159456719345,0006010732026585292,23,5,2,1
584048842874801,65.19,1,10,2,75.17999999999999,261796.18,0.0249010508862275,0006010732026585292,23,5,2,1
464048836915926,52.85,3,10,1,52.85,1164391.0,0.0045388533576779,0006010732020082403,23,5,2,0
464048833608271,34.24,3,10,2,92.14,1164391.0,0.002940592979506,0006010732026498132,23,5,2,0
384048809751780,19.99,1,10,3,102.47,261796.18,0.0076357111093064,0006010732024160981,22,5,2,0
584048758370467,126.41,3,10,7,657.78,1164391.0,0.0108563188825746,0006010732026375702,21,5,2,1
304048698555893,35.88,3,10,1,35.88,1164391.0,0.0030814391385711,0006010732025519797,19,5,2,0
304048653074570,234.09,3,10,31,11573.95,1164391.0,0.0201040715704604,0006010732025028807,18,5,2,0
384048423262642,124.2,3,10,1,124.2,1164391.0,0.0106665200950539,0006010732025951537,11,5,2,0
384048195615812,35.8,3,10,3,117.16,1164391.0,0.0030745685942265,0006010732026692833,5,5,2,0
384048174579007,76.35,3,10,8,531.11,1164391.0,0.006557075758916,0006010732024549522,4,5,2,0
584048143595680,87.73,3,10,1,87.73,1164391.0,0.0075344106919411,0006010732026061781,3,5,2,1
584048141479139,199.99,1,10,1,199.99,261796.18,0.0763914889820012,0006010732025754543,3,5,2,1
304048108028397,97.38,3,10,2,133.03,1164391.0,0.0083631701035133,0006010732026486608,3,5,2,0
384048073113256,90.64,3,10,2,185.26,1164391.0,0.0077843267424773,0006010732026016108,2,5,2,0
464048064226424,628.03,3,10,2,1097.25,1164391.0,0.0539363495595551,0006010732023852885,1,5,2,0
464048033851783,164.98,1,10,2,343.98,261796.18,0.063018490185762,0006010732026190333,0,5,2,0
464048030493381,83.97,1,10,1,83.97,261796.18,0.032074570377612,0006010732023676367,0,5,2,0
584047846128861,55.0,3,11,1,55.0,1164391.0,0.0047234992369401,0006010732025944094,23,4,2,1
464047792295586,15.99,1,11,2,55.99,261796.18,0.0061078049343577,0006010732024042015,22,4,2,0
464047787000923,341.37,3,11,1,341.37,1164391.0,0.029317471536623,0006010732025821037,21,4,2,0
584047750693784,59.97,1,11,2,211.96,261796.18,0.0229071333279194,0006010732026109085,20,4,2,1
304047735520389,338.53,3,11,1,338.53,1164391.0,0.0290735672123882,0006010732025929756,20,4,2,0
464047735497658,221.54,3,11,10,1373.77,1164391.0,0.019026254926395,0006010732022769692,20,4,2,0
384047711717251,52.99,3,11,1,52.99,1164391.0,0.004550876810281,0006010732020491315,19,4,2,0
384047502943730,401.94,3,11,5,1354.23,1164391.0,0.0345193324235587,0006010732020338367,13,4,2,0
304047415019844,14.75,4,11,2,31.44,187261.11,0.0078767022154252,0006010732025655054,11,4,2,0
584047410814321,16.69,4,11,2,31.44,187261.11,0.0089126888118947,0006010732025655054,11,4,2,1
304047286532780,39.99,3,11,4,355.62,1164391.0,0.003434413354277,0006010732026422306,8,4,2,0
384047203287923,89.99,1,11,1,89.99,261796.18,0.0343740691709099,0006010732024445382,5,4,2,0
384047162013259,85.99,3,11,13,1485.77,1164391.0,0.0073849763524451,0006010732021138733,4,4,2,0
304047134057756,39.01,3,11,3,114.15,1164391.0,0.0033502491860551,0006010732026487275,3,4,2,0
384047116507294,108.91,3,11,2,389.38,1164391.0,0.0093533873071846,0006010732025280697,3,4,2,0
384047108963757,63.89,3,11,1,63.89,1164391.0,0.0054869884772383,0006010732026437403,3,4,2,0
464047009730555,310.0,1,11,3,509.9,261796.18,0.1184127285585297,0006010732024498217,0,4,2,0
304046738879360,210.0,1,12,5,1013.78,261796.18,0.0802150741848105,0006010732025756126,20,3,2,0
304046331653298,127.93,3,12,1,127.93,1164391.0,0.0109868592251228,0006010732022240082,9,3,2,0
384046321616615,149.85,3,12,1,149.85,1164391.0,0.0128693883755542,0006010732021524205,8,3,2,0
384046219086969,154.7,3,12,1,154.7,1164391.0,0.013285915126448,0006010732024065073,6,3,2,0
464046208936554,229.95,1,12,1,229.95,261796.18,0.0878355062323674,0006010732024742689,5,3,2,0
384046186860949,366.88,3,12,1,366.88,1164391.0,0.0315083163645201,0006010732024436332,5,3,2,0
584046173544913,206.98,1,12,1,206.98,261796.18,0.0790615050227241,0006010732026099013,4,3,2,1
464046118358460,61.05,3,12,1,61.05,1164391.0,0.0052430841530035,0006010732023091674,3,3,2,0
584046093686345,166.75,3,12,1,166.75,1164391.0,0.0143207908683595,0006010732023560124,2,3,2,1
584045771549276,125.0,3,13,1,125.0,1164391.0,0.0107352255385003,0006010732025763569,21,2,2,1
384045685656579,55.27,3,13,7,657.78,1164391.0,0.0047466873241033,0006010732026375702,19,2,2,0
384045402014226,201.18,3,13,2,504.16,1164391.0,0.017277701390684,0006010732025067870,11,2,2,0
384045333631935,200.0,1,13,1,200.0,261796.18,0.0763953087474385,0006010732022410040,9,2,2,0
304045231181455,33.95,3,13,3,117.16,1164391.0,0.0029156872562567,0006010732026692833,6,2,2,0
304045173495266,37.99,1,13,2,117.97,261796.18,0.0145112888965759,0006010732025180608,4,2,2,0
304045159862625,405.19,3,13,1,405.19,1164391.0,0.0347984482875597,0006010732024707443,4,2,2,0
