transaction_id,uid,order_value,created_at,merchant_name,category
464050142633304,VOXLAT0006010732025283345,22.08,2024-02-19 03:57:48,MILKRUN New Zealand,Retailers
304050138039532,VOXLAT0006010732026096480,36.99,2024-02-19 03:50:07,Cotton On New Zealand,Fashion & Retail
384050128359200,VOXLAT0006010732026401300,180.44,2024-02-19 03:33:59,MILKRUN New Zealand,Retailers
384050123292049,VOXLAT0006010732021856243,270.0,2024-02-19 03:25:33,Foot Locker New Zealand,Fashion & Retail
584050056781674,VOXLAT0006010732020290139,105.95,2024-02-19 01:34:43,Sportsfuel New Zealand,Retailers
304050051526348,VOXLAT0006010732021985059,230.0,2024-02-19 01:25:58,Foot Locker New Zealand,Fashion & Retail
304050021883026,VOXLAT0006010732025553812,43.87,2024-02-19 00:36:34,MILKRUN New Zealand,Retailers
304049854321825,VOXLAT0006010732022221736,96.36,2024-02-18 23:43:58,MILKRUN New Zealand,Retailers
584049839220391,VOXLAT0006010732023464616,214.55,2024-02-18 23:18:48,Klook New Zealand,Travel
584049798667416,VOXLAT0006010732025592612,21.99,2024-02-18 22:11:12,Cotton On New Zealand,Fashion & Retail
584049792058213,VOXLAT0006010732021023489,39.9,2024-02-18 22:00:10,Sportsfuel New Zealand,Retailers
584049771164961,VOXLAT0006010732025770689,283.33,2024-02-18 21:25:22,Sportsfuel New Zealand,Retailers
464049764999711,VOXLAT0006010732022960655,96.0,2024-02-18 21:15:03,Sportsfuel New Zealand,Retailers
384049677378115,VOXLAT0006010732021426575,163.1,2024-02-18 18:49:04,Laithwaites New Zealand,Retailers
464049339484759,VOXLAT0006010732021329621,197.61,2024-02-18 09:25:59,Sportsfuel New Zealand,Retailers
464049338634975,VOXLAT0006010732021329621,197.61,2024-02-18 09:24:27,Sportsfuel New Zealand,Retailers
304049338615450,VOXLAT0006010732021329621,197.61,2024-02-18 09:24:26,Sportsfuel New Zealand,Retailers
384049307738677,VOXLAT0006010732026002785,194.4,2024-02-18 08:33:21,Sportsfuel New Zealand,Retailers
304049265740587,VOXLAT0006010732023761599,360.93,2024-02-18 07:30:14,Sportsfuel New Zealand,Retailers
584049262329557,VOXLAT0006010732026422306,105.55,2024-02-18 07:23:33,MILKRUN New Zealand,Retailers
